,state,tweet_count,state_name,pop_estimate_2016,tweet_per_capita,highest_office,turnout_percent,tweet_per_vote,turnout
0,CA,72446,California,39167117,0.0018496638391842831,14181595,56 %,0.005108452187500771,56
1,FL,57823,Florida,20613477,0.002805106581485501,9420039,65 %,0.006138297304289293,65
2,NY,49469,New York,19633428,0.002519631314511149,7721453,57 %,0.006406695734598139,57
3,TX,41655,Texas,27914410,0.001492240029432827,8969226,51 %,0.004644213447180392,51
4,PA,26444,Pennsylvania,12782275,0.002068802306318711,6165478,64 %,0.004289042958226435,64
5,IL,22042,Illinois,12820527,0.0017192740984828471,5589631,62 %,0.003943373006196653,62
6,NJ,20591,New Jersey,8870827,0.002321204099685407,3874046,64 %,0.0053151149986345025,64
7,GA,19105,Georgia,10301890,0.001854514074601845,4114732,59 %,0.004643072744470357,59
8,AZ,17687,Arizona,6941072,0.002548165470693864,2604657,55 %,0.006790529424795664,55
9,NC,17275,North Carolina,10154788,0.0017011679613597053,4741564,65 %,0.0036433126284913585,65
10,OH,16910,Ohio,11634370,0.0014534521422303055,5496487,63 %,0.0030765105057102837,63
11,VA,15575,Virginia,8410106,0.0018519386081459616,3984631,66 %,0.003908768465637094,66
12,MA,13388,Massachusetts,6823608,0.001962011885794143,3325046,67 %,0.004026410461689853,67
13,WA,13266,Washington,7294771,0.001818562913078423,3317019,65 %,0.0039993741368379255,65
14,KY,12200,Kentucky,4438182,0.002748873299923257,1924149,59 %,0.006340465317394859,59
15,MI,11889,Michigan,9950571,0.0011948058056165823,4799284,65 %,0.002477244522307911,65
16,MD,11109,Maryland,6003323,0.0018504751451820934,2781446,66 %,0.003993965728617417,66
17,LA,9852,Louisiana,4678135,0.0021059674421537644,2029032,60 %,0.004855517310717623,60
18,TN,9554,Tennessee,6646010,0.0014375542618804366,2508027,51 %,0.0038093688784052167,51
19,CO,9511,Colorado,5539215,0.0017170303012249931,2780247,70 %,0.003420919076614416,70
20,MO,8493,Missouri,6087135,0.0013952376610671523,2808605,62 %,0.0030239211281045215,62
21,AL,8194,Alabama,4863525,0.001684786240432608,2123372,59 %,0.0038589564146084623,59
22,WI,8160,Wisconsin,5772628,0.0014135676159974279,2976150,70 %,0.002741797288443123,70
23,NV,8098,Nevada,2917563,0.0027756041600472724,1125385,57 %,0.007195759673356229,57
24,OR,7728,Oregon,4089976,0.0018894976400839515,2001336,66 %,0.003861420571058533,66
25,IN,7486,Indiana,6634304,0.0011283775962030078,2734958,56 %,0.0027371535504384344,56
26,SC,6830,South Carolina,4957968,0.001377580492653442,2103027,57 %,0.0032476996253495557,57
27,MS,5168,Mississippi,2987938,0.0017296208957481715,1209357,55 %,0.004273345257025014,55
28,CT,5075,Connecticut,3578141,0.001418334269107897,1644920,64 %,0.003085256425844418,64
29,OK,4742,Oklahoma,3926331,0.0012077433104850303,1452992,52 %,0.003263610536052504,52
30,ME,4469,Maine,1331317,0.003356826360663914,747927,71 %,0.005975182069907892,71
31,DC,4452,District of Columbia,685815,0.006491546554099867,311268,60 %,0.014302787308685764,60
32,MN,4388,Minnesota,5522744,0.0007945325729383799,2944813,74 %,0.0014900776382065686,74
33,IA,4280,Iowa,3131371,0.0013668134500830467,1566031,68 %,0.0027330238034879257,68
34,KS,3434,Kansas,2910844,0.0011797265672773944,1184402,58 %,0.002899353428987793,58
35,NH,3351,New Hampshire,1342307,0.002496448278970459,744296,71 %,0.004502241043885766,71
36,AR,3293,Arkansas,2989918,0.0011013679973832058,1130635,53 %,0.002912522608976372,53
37,NM,2934,New Mexico,2091630,0.001402733753101648,798319,55 %,0.003675222561407157,55
38,HI,2773,Hawaii,1427559,0.0019424766331899417,428937,42 %,0.006464818842860373,42
39,UT,2526,Utah,3041868,0.0008304107870558486,1131430,57 %,0.002232572938670532,57
40,RI,2180,Rhode Island,1056770,0.002062889748951995,464144,59 %,0.004696818228825537,59
41,NE,1981,Nebraska,1905616,0.001039558861806366,844227,63 %,0.0023465252828919238,63
42,ID,1955,Idaho,1682380,0.001162044246840785,690255,59 %,0.002832286618713374,59
43,DE,1606,Delaware,948921,0.0016924485810726078,443814,64 %,0.0036186330309544087,64
44,WV,1556,West Virginia,1831023,0.0008497981729339282,714423,50 %,0.002177981391976462,50
45,AK,1399,Alaska,741456,0.0018868280788071038,318608,61 %,0.004390975744488525,61
46,VT,921,Vermont,623657,0.0014767732904465115,315067,64 %,0.0029231877664115885,64
47,MT,623,Montana,1040859,0.0005985440871434075,497147,62 %,0.0012531504766195914,62
48,WY,617,Wyoming,584215,0.0010561180387357394,255849,60 %,0.002411578704626557,60
49,SD,489,South Dakota,862996,0.0005666306680448114,370093,59 %,0.0013212895137168226,59
50,ND,422,North Dakota,754434,0.0005593597319314877,344360,61 %,0.0012254617261005924,61
